organism_name	lineage	taxonomy_id	bco_id	schema_version	bioproject	biosample	strain	genome_assembly_id	sample_name	instrument	isolate	collected_by	collection_date	geo_loc_name	isolation_source	lat_lon	culture_collection	host	host_age	host_description	host_disease	host_disease_outcome	host_disease_stage	host_health_state	host_sex	id_method	biosample_score
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578677	USA-CDC-CAU-B19812		USA-CDC-CAU-B19812	NA		USA	44136	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578673	USA-CDC-CAU-B19813		USA-CDC-CAU-B19813	NA		USA	44136	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578671	USA-CDC-CAU-B19814		USA-CDC-CAU-B19814	NA		USA	44136	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578675	USA-CDC-CAU-B19815		USA-CDC-CAU-B19815	NA		USA	44136	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578672	USA-CDC-CAU-B19817		USA-CDC-CAU-B19817	NA		USA	44136	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578674	USA-CDC-CAU-B19829		USA-CDC-CAU-B19829	NA		USA	44166	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578679	USA-CDC-CAU-B19832		USA-CDC-CAU-B19832	NA		USA	44105	USA:Mid-Atlantic	urine	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578682	USA-CDC-CAU-B19833		USA-CDC-CAU-B19833	NA		USA	44166	USA:Mid-Atlantic	wound	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578684	USA-CDC-CAU-B19834		USA-CDC-CAU-B19834	NA		USA	44166	USA:Mid-Atlantic	urine	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578680	USA-CDC-CAU-B19835		USA-CDC-CAU-B19835	NA		USA	44166	USA:Mid-Atlantic	urine	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578681	USA-CDC-CAU-B19836		USA-CDC-CAU-B19836	NA		USA	44166	USA:Mid-Atlantic	urine	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578683	USA-CDC-CAU-B19838		USA-CDC-CAU-B19838	NA		USA	44166	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578678	USA-CDC-CAU-B19845		USA-CDC-CAU-B19845	NA		USA	44166	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578685	USA-CDC-CAU-B20075		USA-CDC-CAU-B20075	NA		USA	44105	USA:Mid-Atlantic	urine	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578686	USA-CDC-CAU-B20087		USA-CDC-CAU-B20087	NA		USA	44197	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578687	USA-CDC-CAU-B20090		USA-CDC-CAU-B20090	NA		USA	44228	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578692	USA-CDC-CAU-B20279		USA-CDC-CAU-B20279	NA		USA	44197	USA:Mid-Atlantic	blood	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578688	USA-CDC-CAU-B20280		USA-CDC-CAU-B20280	NA		USA	44228	USA:Mid-Atlantic	urine	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578689	USA-CDC-CAU-B20282		USA-CDC-CAU-B20282	NA		USA	44228	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578691	USA-CDC-CAU-B20283		USA-CDC-CAU-B20283	NA		USA	44228	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578690	USA-CDC-CAU-B20291		USA-CDC-CAU-B20291	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578693	USA-CDC-CAU-B20292		USA-CDC-CAU-B20292	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578694	USA-CDC-CAU-B20293		USA-CDC-CAU-B20293	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578696	USA-CDC-CAU-B20450		USA-CDC-CAU-B20450	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578695	USA-CDC-CAU-B20451		USA-CDC-CAU-B20451	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578699	USA-CDC-CAU-B20452		USA-CDC-CAU-B20452	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578697	USA-CDC-CAU-B20453		USA-CDC-CAU-B20453	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578698	USA-CDC-CAU-B20454		USA-CDC-CAU-B20454	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578700	USA-CDC-CAU-B20455		USA-CDC-CAU-B20455	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578702	USA-CDC-CAU-B20456		USA-CDC-CAU-B20456	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578703	USA-CDC-CAU-B20457		USA-CDC-CAU-B20457	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578704	USA-CDC-CAU-B20458		USA-CDC-CAU-B20458	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578701	USA-CDC-CAU-B20459		USA-CDC-CAU-B20459	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578705	USA-CDC-CAU-B20702		USA-CDC-CAU-B20702	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578707	USA-CDC-CAU-B20703		USA-CDC-CAU-B20703	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578709	USA-CDC-CAU-B20704		USA-CDC-CAU-B20704	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578708	USA-CDC-CAU-B20706		USA-CDC-CAU-B20706	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578706	USA-CDC-CAU-B20707		USA-CDC-CAU-B20707	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578711	USA-CDC-CAU-B20709		USA-CDC-CAU-B20709	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578764	USA-CDC-CAU-B20710		USA-CDC-CAU-B20710	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578762	USA-CDC-CAU-B20711		USA-CDC-CAU-B20711	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578710	USA-CDC-CAU-B20713		USA-CDC-CAU-B20713	NA		USA	44228	USA:Mid-Atlantic	blood	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578758	USA-CDC-CAU-B20734		USA-CDC-CAU-B20734	NA		USA	44287	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578757	USA-CDC-CAU-B20738		USA-CDC-CAU-B20738	NA		USA	44287	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578756	USA-CDC-CAU-B20739		USA-CDC-CAU-B20739	NA		USA	44287	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578759	USA-CDC-CAU-B20781		USA-CDC-CAU-B20781	NA		USA	44105	USA:Mid-Atlantic	urine	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578761	USA-CDC-CAU-B20782		USA-CDC-CAU-B20782	NA		USA	44105	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578760	USA-CDC-CAU-B20783		USA-CDC-CAU-B20783	NA		USA	44105	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578765	USA-CDC-CAU-B21486		USA-CDC-CAU-B21486	NA		USA	44348	USA:Mid-Atlantic	urine	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578763	USA-CDC-CAU-B21522		USA-CDC-CAU-B21522	NA		USA	44409	USA:Mid-Atlantic	urine	Not collected		Homo sapiens			Not collected						NA
Clostridioides difficile	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	1496	ARGOS_000020	v1.4	PRJNA231221	SAMN04875593	FDAARGOS_267	GCA_002073735.2	FDAARGOS_267	NA	Not Applicable	ATCC < F E Clark	Missing	USA:VA	ATCC strain	Not Applicable	ATCC:9689D-5	Missing	Missing	Missing	Infection with Peptoclostridium difficile	Missing		Missing	Missing	Phenotypic identification	NA
Clostridioides difficile	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	1496	ARGOS_000020	v1.4	PRJNA231221	SAMN04875593	FDAARGOS_267	GCA_002073735.2	FDAARGOS_267	NA	Not Applicable	ATCC < F E Clark	Missing	USA:VA	ATCC strain	Not Applicable	ATCC:9689D-5	Missing	Missing	Missing	Infection with Peptoclostridium difficile	Missing		Missing	Missing	Phenotypic identification	NA
Clostridioides difficile	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	1496	ARGOS_000020	v1.4	PRJNA231221	SAMN04875593	FDAARGOS_267	GCA_002073735.2	FDAARGOS_267	NA	Not Applicable	ATCC < F E Clark	Missing	USA:VA	ATCC strain	Not Applicable	ATCC:9689D-5	Missing	Missing	Missing	Infection with Peptoclostridium difficile	Missing		Missing	Missing	Phenotypic identification	NA
Clostridium perfringens	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1502	ARGOS_000020	v1.4	PRJNA231221	SAMN13450435	FDAARGOS_905	GCA_016026995.1	FDAARGOS_905	NA	Not applicable	DSMZ	Unknown	Not applicable	missing	Not applicable	DSM:628	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Clostridium perfringens	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1502	ARGOS_000020	v1.4	PRJNA231221	SAMN13450435	FDAARGOS_905	GCA_016026995.1	FDAARGOS_905	NA	Not applicable	DSMZ	Unknown	Not applicable	missing	Not applicable	DSM:628	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
